TradeId,Side,QuantityContracts,EntryTimeUtc,EntryPrice,ExitTimeUtc,ExitPrice,ProfitLoss,EMA_20_AtExit,EMA_50_AtExit,EMA_100_AtExit
1,Sell,1,2026-04-02 02:59:19,23889.98238518367629140,2026-04-02 03:04:19,23879.31196169895673740,10.67042348471955400,23894.593429164944918356757615,23904.801368147413620400112179,23919.717186105718007628907641
2,Buy,1,2026-04-02 04:33:19,23942.03728367669378660,2026-04-02 04:42:19,23931.299329889611921540,-10.737953787081865060,23931.553483398043619826840502,23920.153096247263732627446328,23915.777658424560267490300720
3,Sell,1,2026-04-02 05:08:19,23881.474656011664579540,2026-04-02 05:10:19,23871.020988901621149540,10.453667110043430000,23898.410235446785405449513230,23910.180818572824269356931462,23912.743851471318002099836154
4,Buy,1,2026-04-02 08:02:19,23874.180967781776934740,2026-04-02 08:04:19,23889.817512645301094740,15.636544863524160000,23861.703159764392917911682809,23845.706567347951978258644396,23843.378631026940879134662589
